content,cleaned_content,sentiment
Awesome as always with PayPal...leader in internet banking ..,awesome always paypal leader internet banking,positive
It is confusing to use. Also when there are multiple people with the same name it can be hard to tell whether you hoae the right one.,confusing use also multiple people name hard tell whether hoae right one,negative
"Lately, has been telling me I need to update... and yet there is no update available for me too use. Frustrating 🙄",lately telling need update yet update available use frustrating,negative
"Why paypal i cant pay shein using paypal balance only, it still ask my atm or bank acc 🥺❤️ but i love paypal",paypal cant pay shein using paypal balance still ask atm bank acc love paypal,positive
Very useful app,useful app,positive
From day 1 this has been an app that works like it's supposed to and doesn't cause any issues!,day app works like supposed cause issues,positive
Really nice App It works well and is really easy to use,really nice app works well really easy use,positive
Very useful app,useful app,positive
Recommended app,recommended app,positive
This app is pretty good so far,app pretty good far,positive
Always excellent. Guaranteed protection for my transactions. Secur and reliable.,always excellent guaranteed protection transactions secur reliable,positive
Very great,great,positive
Bank account number allow permission Google..,bank account number allow permission google,positive
The 2FA code screen goes blank white when I tap in it to enter the code. Impossible to login.,fa code screen goes blank white tap enter code impossible login,neutral
"Just a rewards point app, cant figure a way to cashout...",rewards point app cant figure way cashout,positive
it's wonderful app,wonderful app,positive
"They have a very good and secure system. I know that I am in the best hands, when it comes to my money.",good secure system know best hands comes money,positive
"This is the original company that made, cross border/country payments possible.",original company made cross border country payments possible,positive
Good I like it very much,good like much,positive
"Find it a good way to pay for goods, hassle free. And refunds available. Thank you",find good way pay goods hassle free refunds available thank,positive
All ok.,ok,positive
Reliable consistent experience,reliable consistent experience,neutral
Easy peasy!,easy peasy,positive
Great work,great work,positive
Don't like it for various reasons,like various reasons,positive
Very good.,good,positive
Can't login on s25. It closes itself right after login. Reinstalled and tried to clear saved data but it doesn't work.,login closes right login reinstalled tried clear saved data work,positive
It's good,good,positive
So far so good.,far good,positive
"My account got flagged for suspicious activity yet I have never used it and all attempts to create another account or file for reconsideration have been declined. And before you think I'm exaggerating, I'll have you know I didn't put up any cards whatsoever. I created an account so that when I finally got my cards I could use it. But when I got the cards and went to upload the details I got a flagged report and apparently it's a permanent ban. What was the reason? I want a specific reason.",account got flagged suspicious activity yet never used attempts create another account file reconsideration declined think exaggerating know put cards whatsoever created account finally got cards could use got cards went upload details got flagged report apparently permanent ban reason want specific reason,negative
Nice,nice,positive
Dope!,dope,neutral
Paypal charges 15-20% selling fees. No more selling from me!!!,paypal charges selling fees selling,negative
Hi I really don't like having to go though these steps to get to my money and I don't like it taking so long t access my account I wish they make easy access it Because I have to change my password because they say it's wrong and go back take look at it but when you go back and look at it was the same . That's why I gave you guys 2 stars,hi really like go though steps get money like taking long access account wish make easy access change password say wrong go back take look go back look gave guys stars,positive
Paypal account hacked and closed. Cannot contact Customer service because only way to do so is to have an account... Which I don't have anymore... 👀,paypal account hacked closed contact customer service way account anymore,negative
Why is my account on the negative side. I never heard of the save the pet organization.,account negative side never heard save pet organization,negative
"On 3/4/22, I posted a 5 star review. Today, my opinion has changed. Last month, an unauthorized merch took money out of my account, I called customer service. They fixed it and gave my $ back after 7-10 days. Of course, I had to cancel my card and wait 7-10 days for a new one. Good, but now it shows the same merch and the same money taken. I called to find that it was an error on PayPals' end (system update caused an error), and guess what!! I get to wait another 7-10 days! Don't use PayPal!!!",posted star review today opinion changed last month unauthorized merch took money account called customer service fixed gave back days course cancel card wait days new one good shows merch money taken called find error paypals end system update caused error guess get wait another days use paypal,negative
"It was very confusing when trying to contact the company by email. The sending part is not at all clear, and now it looks like I have sent a payment twice. If I have, I just hope it's returned.",confusing trying contact company email sending part clear looks like sent payment twice hope returned,positive
The app verification system is garbage. I submitted my ID to verify my identity and it told me I'm under 18 when I'm literally not?? Then it limited my account and now I can't close it or make a new account. And customer service won't do a thing.,app verification system garbage submitted id verify identity told literally limited account close make new account customer service thing,negative
Very very good,good,positive
Works great,works great,positive
"Cool. I like it. Quick, safe, and always great customer service if I need them.",cool like quick safe always great customer service need,positive
I hope it works out as. People do say..let give it a trial,hope works people say let give trial,positive
Ok I am definitely hacked ony pay pal accounts I decided after losing my last three account and can not get them back nostter what I do I opened another and first thing I noticed is emails and another device connected to my account so I tryed to remove it and was keeckef out of my account Iv logged in ten times and sent you msg after msg but like always nothing is getting done,ok definitely hacked ony pay pal accounts decided losing last three account get back nostter opened another first thing noticed emails another device connected account tryed remove keeckef account iv logged ten times sent msg msg like always nothing getting done,positive
Great and smooth,great smooth,positive
They changed the interface Cannot send personal funds anymore.,changed interface send personal funds anymore,neutral
Great when in a bind,great bind,positive
It's okay,okay,positive
"My account got hacked 2 years ago and yall have permanently banned it, resulting in the loss of all the money in my account. I don't remember how much was in there, but I either want my account reinstated or compensation for the loss of my account. I have swapped to Cash App for money transfer needs.",account got hacked years ago yall permanently banned resulting loss money account remember much either want account reinstated compensation loss account swapped cash app money transfer needs,negative
It has been an exciting but most Joyful experiencec for me when I am Home alone.,exciting joyful experiencec home alone,positive
Great 👍🏿 for personal finance.,great personal finance,positive
I have not had a good experience with PayPal because I have not received anything to my account it's linked to someone else's account,good experience paypal received anything account linked someone else account,positive
"It's how I pay my bills. Quick, simple, and trustworthy. 10/10, would bang!!!",pay bills quick simple trustworthy would bang,positive
Still easy every time I use this!,still easy every time use,positive
simple,simple,neutral
It's a lot more secure than other payment methods online besides my brick and mortar bank services and it's one that's more widely trusted. Have had no issues with the app,lot secure payment methods online besides brick mortar bank services one widely trusted issues app,positive
"Love this app. It works well for my needs, and is compact and quick. Seems to be quite secure as well. Thank you!",love app works well needs compact quick seems quite secure well thank,positive
Great app and great service,great app great service,positive
"I use PayPal to protect my credit cards and bank account. Generally it does a fine job, but there have been a couple of break throughs , although nothing recently.",use paypal protect credit cards bank account generally fine job couple break throughs although nothing recently,positive
Avoid using PayPal. Use a credit card. PayPal will not protect its customers. It thinks it can ignore basic consumer law and the distance selling act.,avoid using paypal use credit card paypal protect customers thinks ignore basic consumer law distance selling act,positive
il me plais beuciup walah,il plais beuciup walah,neutral
Líké pay pal better thén cash app,líké pay pal better thén cash app,positive
"Ordered merchandise off of the internet did not receive it I explained did PayPal I looked everywhere even going around and ask my neighbors if it could have been sent to them by mistake $44 and some change I'm not going to put up with that I'll find another way to pay for my purchases. I thought PayPal with something good but it's turning out you stink, don't recommend it.",ordered merchandise internet receive explained paypal looked everywhere even going around ask neighbors could sent mistake change going put find another way pay purchases thought paypal something good turning stink recommend,negative
Hard to access my own account. Lost lots of funds dealing with PayPal,hard access account lost lots funds dealing paypal,negative
I have never used PayPal yet I am aware that several of my associates do use and depend on PayPal to help assist them in receiving cash and in Paying out Cash. Today I decided to learn how to use PayPal for my own use in receiving and in Sending cash I can only hope PayPal is efficient and helpful in my cash transaction use and it is secure and helpful and not a gross headache. Since no one is here to welcome me aboard. I welcome myself and hope I am not disappointed in ever using PayPal.,never used paypal yet aware several associates use depend paypal help assist receiving cash paying cash today decided learn use paypal use receiving sending cash hope paypal efficient helpful cash transaction use secure helpful gross headache since one welcome aboard welcome hope disappointed ever using paypal,positive
Looks like someone is attempting to hack into my account right now. Update did my security check and changed my password even though I didn't need to and now I can't log in. Someone is tampering with my account. Update: Called customer support and hopefully the problem remains rectified. Update! It's happening again and Iam trying to receive a deposit!,looks like someone attempting hack account right update security check changed password even though need log someone tampering account update called customer support hopefully problem remains rectified update happening iam trying receive deposit,positive
This app is absolutely fantastic It helps download apps that l thought didn't exist & it's like a helper with technical issues l love it !! But problem is data & wifi 🤕 sometimes l wanna download apps but l don't have data but anyways it rocks,app absolutely fantastic helps download apps l thought exist like helper technical issues l love problem data wifi sometimes l wan na download apps l data anyways rocks,positive
"Awful. It banned me for absolutely no reason saying that I have used the app inconsistently to make purchases or receive money. It's an absolute joke for what this app has done for no reason. I was supposed to receive 90 US dollars for a product, but now I cant receive it as they banned my account for no reason. Thanks PayPal! I have created a shipping label with all the information getting it ready to send it out, and now, I can't receive my money because my account was banned.",awful banned absolutely reason saying used app inconsistently make purchases receive money absolute joke app done reason supposed receive us dollars product cant receive banned account reason thanks paypal created shipping label information getting ready send receive money account banned,negative
Love it,love,positive
The app is a bit cluttered and difficult to find certain things. I'd like to see cross platform payments with venmo so I don't have to have both apps.,app bit cluttered difficult find certain things like see cross platform payments venmo apps,positive
Amazing,amazing,positive
"Been using PayPal for years. I find it safer than using credit cards. Not to mention I can pay people in there own currency if need be. The fees are reasonable when there instituted, and there for using the software & the insurance that comes with it. Most the time I have no fees.",using paypal years find safer using credit cards mention pay people currency need fees reasonable instituted using software insurance comes time fees,positive
Can not load money on my account,load money account,neutral
Excellent,excellent,positive
"Once into the App it works well, could do with a bit more easy to read info on refunds etc.",app works well could bit easy read info refunds etc,positive
Perfectly 👌 perfect,perfectly perfect,positive
Great,great,positive
I send money to my Spanish teacher in Spain with no problems using paypal,send money spanish teacher spain problems using paypal,negative
Useful app,useful app,positive
i cant close my account when i resplve issues at the bank cause i dont have my card anymore and the card is under no longer exist and dont have the statement anymore,cant close account resplve issues bank cause dont card anymore card longer exist dont statement anymore,neutral
I can't even create an account to begin with,even create account begin,positive
Dreadful can't log in now,dreadful log,negative
Mine hasn't been working 😔😭💔😭😭😭 I hate it,mine working hate,negative
"It's sad that I've been with PayPal for over 15yrs and the one and ONLY time I dispute a charge, they go with he sellers side! They're losing a customer over this! I've explained my situation several times and the internet is FULL of scam reviews of this site that took my money! But PayPal made their decision....so have I. Don't believe their ""Buyer Protection"" they rave about! Cuz they don't protect its customers at all! Sad.",sad paypal yrs one time dispute charge go sellers side losing customer explained situation several times internet full scam reviews site took money paypal made decision believe buyer protection rave cuz protect customers sad,negative
Need to know how to watch my money coming in I claim it then it's not in my paaay pal where does it go,need know watch money coming claim paaay pal go,neutral
Very convenient.,convenient,neutral
So efficient and easy to use!!!,efficient easy use,positive
Excellent app. I use it all the time.,excellent app use time,positive
Love it!,love,positive
It's a scam,scam,negative
Awesome,awesome,positive
Nice,nice,positive
Worthless. There were two unauthorized transactions on my account and they didn't even bother getting the money back.,worthless two unauthorized transactions account even bother getting money back,negative
It keeps telling me to use my billing address even though that is my billing address!!!!! And I can't create an account because of that. It is so hassle and inconvenient.,keeps telling use billing address even though billing address create account hassle inconvenient,negative
The fees got so bad I cant even send my family 5 bucks because the fee is 10€,fees got bad cant even send family bucks fee,negative
easy secure fast,easy secure fast,positive
I just created new account and after 5min it says permanently ban... Reason ... U have been inactive for long time... If 5min is long time then yes.. i have been inactive,created new account min says permanently ban reason u inactive long time min long time yes inactive,positive
Great app.,great app,positive
I'M NOW STRUGGLING FOR A LONG TIME TO GET THIS APP ON MY PHONE,struggling long time get app phone,negative
This app is nedd tobe fix i have an internet but it says no internet connection,app nedd tobe fix internet says internet connection,neutral
couldn't set my phone number.,set phone number,positive
BEST for sending money,best sending money,positive
To much fee's,much fee,neutral
Normally a decent app. They've been holding a transaction from Me for over 21 days. Totally contrary to their own statements. It's kind of hard to want to be a Seller when PayPal is holding your money... ya... know.... what someone needs to feed themselves or Pay Bills.,normally decent app holding transaction days totally contrary statements kind hard want seller paypal holding money ya know someone needs feed pay bills,positive
Steals your money and refuses to let you pay out what you have on your paypal account.,steals money refuses let pay paypal account,negative
Lovely and fast,lovely fast,positive
"PAyPal I have been WIth foR liKe 10 yrs. nEvEr had one complaint with them. I'm not sure if I'm missing it,but I'm not sure if u cAN LOCK UR CARD UP LIKE U CAN CashaPp but if not,iT Should HAve that feature. ITS VERY heLpFUl and I can't LivE withoUt IT. Cashapp is my primary riGht NOw bc MY PAYPAl broke in half AND I neeD A New One. Not Even suRe How tO geT a new or replacement cArd. 😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉wow sorry my phone is going all whack on me rn.",paypal like yrs never one complaint sure missing sure u lock ur card like u cashapp feature helpful live without cashapp primary right bc paypal broke half need new one even sure get new replacement card wow sorry phone going whack rn,positive
1 star for the Honey scam,star honey scam,negative
Some times u need something for your backing.,times u need something backing,positive
Thanks you,thanks,positive
Does not support you when you need it. Takes ages to review things and still cannot protect its customers the claims side is useless and unsupportive with no good reason will stop using this once all payments finalised. Do not recommend,support need takes ages review things still protect customers claims side useless unsupportive good reason stop using payments finalised recommend,positive
Great,great,positive
Except for Google stealing 3-4 dollars a day for stuff I never ordered or received,except google stealing dollars day stuff never ordered received,negative
App Not bad,app bad,negative
Effective and safe,effective safe,positive
It's not downloading,downloading,neutral
Fast transaction,fast transaction,neutral
"Meh. I believe PayPal must have been a good option maybe 10 years ago, but nowadays, virtual mobile banks like Revolut simply destroy PayPal. I was forced to use PayPal because some of my friends had it, but it's not convenient as other virtual banking solutions. To me, it's a dead product already.",meh believe paypal must good option maybe years ago nowadays virtual mobile banks like revolut simply destroy paypal forced use paypal friends convenient virtual banking solutions dead product already,negative
I wouldn't want to use anybody else with the money I earn,want use anybody else money earn,positive
Nice payment aap,nice payment aap,positive
The app does not allow me to withdraw using Capitec,app allow withdraw using capitec,positive
Everyone knows about PayPal but I don't use it much I have recently and it's done me okay.,everyone knows paypal use much recently done okay,positive
📫 money for my bills,money bills,neutral
Best app ever,best app ever,positive
Doesn't let you straight up remove a card despite providing a button to. Kind of strange and not to mention frustrating,let straight remove card despite providing button kind strange mention frustrating,negative
Great app and excellent support if anyone has a refund issue. PayPal support is great.,great app excellent support anyone refund issue paypal support great,positive
So good for keeping money it keeps my money safe,good keeping money keeps money safe,positive
Lo ve PayPal but it won't let me sign Into one of my accounts even though I give all the info necessary it just says the app is out of service atm,lo paypal let sign one accounts even though give info necessary says app service atm,neutral
Dead.,dead,negative
so many ads and popups and random things that the homepage is almost unusable. took me more than 5 minutes to find my bill so i could pay it. i miss when the interface was sleek and usable and it didnt interrupt you begging you to get the debit card (which I already have!!!) every .5 seconds. ill just be paying on the website from now on.,many ads popups random things homepage almost unusable took minutes find bill could pay miss interface sleek usable didnt interrupt begging get debit card already every seconds ill paying website,negative
Don't listen to the bot reviews for this app. This app will zero out your account randomly with no explanation. It's even written in their T&C. Lots of my friends have suffered because of this.,listen bot reviews app app zero account randomly explanation even written c lots friends suffered,negative
"not working correctly with Walmart, freezes & repeats on last step",working correctly walmart freezes repeats last step,negative
👍🏼,,neutral
"I was a huge advocate for utilizing PayPal as my sole financial institution. 7 years ago, I found they were an exceptional alternative to traditional banks, the rates were fair, and I could depend on them to act in the best interest of the customer when matters like disputed transactions would arise. Then the fees began to increase. Yet I maintained what was, in hind sight, poorly considered customer loyalty. Unfortunately, the quality customer service didn't last, but the fees continued rising.",huge advocate utilizing paypal sole financial institution years ago found exceptional alternative traditional banks rates fair could depend act best interest customer matters like disputed transactions would arise fees began increase yet maintained hind sight poorly considered customer loyalty unfortunately quality customer service last fees continued rising,positive
It's good 😊,good,positive
This app is very fantastic,app fantastic,positive
Easy to work with when transferring and receiving,easy work transferring receiving,positive
Great app,great app,positive
Awesome financial app,awesome financial app,positive
Having trouble today.,trouble today,negative
Good for any kind of bills,good kind bills,positive
Camera is already allowed in permission setting but this app does not recognize it and always ask me to allow the permission. It is really annoying.,camera already allowed permission setting app recognize always ask allow permission really annoying,negative
🤘,,neutral
"My most secured way of paying, however, won't stay consistent with preferred way to pay, keeps using wrong card unless I remove all other cards. Very selectively will allow choice, but doesn't do so for all purchases. Gonna cost me greatly, thanks to a recent blunder (small payment, but due to an issue I'm unable to talk about, major cost for this year). I don't have time to fight with any CS. Sorry for spelling mistakes, I need to get going, rushed.",secured way paying however stay consistent preferred way pay keeps using wrong card unless remove cards selectively allow choice purchases gon na cost greatly thanks recent blunder small payment due issue unable talk major cost year time fight cs sorry spelling mistakes need get going rushed,negative
Pay pal It's definitely my go to financial app. I play games a lot. For financial gain... I have found out PayPal is perdominantly. Most of my games go to app as well. Most every game will deposit my winnings to PayPal. I love it,pay pal definitely go financial app play games lot financial gain found paypal perdominantly games go app well every game deposit winnings paypal love,positive
Can u please add Ghana. The country ain't in,u please add ghana country,positive
"Käufer hat Schuhe im Wert von 270€ mit Käuferschutz gekauft -Meinte die seien ""leer"" (also dass nur eine leere Schuhbox angekommen ist) angekommen, hat lediglich nur ein einziges Foto von der leeren Box im Käuferschutz-Fall geschickt Trotz Belege dass ich die Schuhe, die bei der DHL Station zuvor gewogen wurden (mit 2kg), geschickt habe und all den anderen Belegen wie wie z.B dass ich zur Post ging und langen Erklärungen meinerseits, hat der Käufer trotzdem gewonnen Ich wurde betrogen!!!",käufer hat schuhe im wert von mit käuferschutz gekauft meinte die seien leer also dass nur eine leere schuhbox angekommen ist angekommen hat lediglich nur ein einziges foto von der leeren box im käuferschutz fall geschickt trotz belege dass ich die schuhe die bei der dhl station zuvor gewogen wurden mit kg geschickt habe und den anderen belegen wie wie z b dass ich zur post ging und langen erklärungen meinerseits hat der käufer trotzdem gewonnen ich wurde betrogen,negative
"To good,",good,positive
I absolutely love using PayPal for paying for my rent each month . It's quick and easy taking only seconds. LOVE It!!! 😁,absolutely love using paypal paying rent month quick easy taking seconds love,positive
Great job,great job,positive
Love it I wish they would let my main card be eligible though it's where all my money goes to but they marked it as suspicious lol like what y but I'll still give ya a 5,love wish would let main card eligible though money goes marked suspicious lol like still give ya,positive
Ok,ok,positive
Been phenomenal thus far. Been using PayPal for five years now & happy with the service. 👌🏼,phenomenal thus far using paypal five years happy service,positive
"So far, this app has made managing my finances easier. I'm grateful. I will provide a more detailed review.",far app made managing finances easier grateful provide detailed review,positive
It's amazing app I like this,amazing app like,positive
PayPal doesn't support my country 🇸🇴,paypal support country,positive
Love this card and it's app. It does so much!,love card app much,positive
I hope l can create quickly PayPal account,hope l create quickly paypal account,positive
Fast Secure And Simple,fast secure simple,positive
Always nice!,always nice,positive
"Popup popup popup, making it hard to find your money amidst the offers to give PayPal or other meechants more of your money, this app has become horrible to use",popup popup popup making hard find money amidst offers give paypal meechants money app become horrible use,negative
"It works ok but I don't understand why the F&F option it's not available in South America, why can't we choose?",works ok understand f f option available south america choose,positive
I wouldn't leave home without my PayPal card.,leave home without paypal card,negative
"A safe, easy way to send and receive money.",safe easy way send receive money,positive
Tajaajila mana,tajaajila mana,neutral
Why I don't get my verification code,get verification code,neutral
"Fantastic, streamlined and intuitive. 10/10",fantastic streamlined intuitive,positive
Reliable,reliable,neutral
Ordinarily I would have given them 5 Stars as they have been amazing. Except today I got scammed and tried to report it and PayPal did nothing to get my money back. I know it is odd to gripe about money but I lost both my parents so every penny counts and pay pal did not care about getting my money back from a scammer. I really hope this can be resolved and I will give PayPal 5 Stars again,ordinarily would given stars amazing except today got scammed tried report paypal nothing get money back know odd gripe money lost parents every penny counts pay pal care getting money back scammer really hope resolved give paypal stars,positive
Use it a bunch,use bunch,neutral
yeah. it's ight,yeah ight,positive
For the past few years I have been withdrawing funds into this account but unable to obtain a single dollar bu the funds I deposited seem to disappear without any traces and I consider a lot of fraud to have been enployed against me by Paypal and they refuse to engage me by oroviding ne with any statements if my accounts some of which they refuse to even scknowledge,past years withdrawing funds account unable obtain single dollar bu funds deposited seem disappear without traces consider lot fraud enployed paypal refuse engage oroviding ne statements accounts refuse even scknowledge,negative
Perfect,perfect,positive
It doesn't work on my phone at all I can't find any display,work phone find display,neutral
"I am so upset right now like why is it that everytime I put my phone number and I clicked on the ""I'm human "" quiz it goes back to ""please check your phone number "" like what am I supposed to do?",upset right like everytime put phone number clicked human quiz goes back please check phone number like supposed,positive
Excellent,excellent,positive
This app Sucks Big Time to many bugs and network issues I wouldn't recommend to anyone that I know seriously there's better apps out there for that......,app sucks big time many bugs network issues recommend anyone know seriously better apps,positive
App is great app star,app great app star,positive
"This happens on the app only, not the desktop site. In January and again in March, I've been able to view the progress of packages being packed, shipped, and delivered, 1st by UPS and 2nd by USPS, Erie, PA, from the app wherever I am. I've never ordered ANYTHING to be shipped and paid with PayPal! I live in Cali, not Erie, PA. Tracking numbers I'm given are legit; I've called both companies to question & was told yes, it's real. No financial activity in my PP acct shows up. PP CSR sez mistake.",happens app desktop site january march able view progress packages packed shipped delivered st ups nd usps erie pa app wherever never ordered anything shipped paid paypal live cali erie pa tracking numbers given legit called companies question told yes real financial activity pp acct shows pp csr sez mistake,positive
👍,,neutral
Very easy to navigate!,easy navigate,positive
You need to restructure your app. A basic patch is now over 70 megs.,need restructure app basic patch megs,neutral
"I know it's handy ,",know handy,neutral
good,good,positive
Excellent !! Works very well thanks!! Keep up the good work please,excellent works well thanks keep good work please,positive
Butifull,butifull,neutral
"If I can't trust you not to hijack what I'm doing on my phone (you force open your app when your ad plays in a different app), how can I trust you with my money?",trust hijack phone force open app ad plays different app trust money,positive
PayPal lies and steals from customers,paypal lies steals customers,negative
Easy to use app. Works well.,easy use app works well,positive
"Used be reliable, but now facilitates crooks to charge your account. Seems they have gone full Musk-crazy.",used reliable facilitates crooks charge account seems gone full musk crazy,negative
"Please add a tablet layout for foldable devices. Please add Dark Mode Support and Material You support. Dark mode has been a feature of Android since version 9.0+, we're going into version 15 and still don't have this support from you guys. It's unacceptable. There's no reason why we shouldn't have a dark theme in 2025. No one wants to look at all this blinding white. It's so hard on the eyes!! You're not being inclusive for people with visual impairments!",please add tablet layout foldable devices please add dark mode support material support dark mode feature android since version going version still support guys unacceptable reason dark theme one wants look blinding white hard eyes inclusive people visual impairments,positive
best app ever,best app ever,positive
Pay pal have been talking money out of my account without my permission,pay pal talking money account without permission,negative
Fast and easy,fast easy,positive
PayPal makes it so easy!,paypal makes easy,positive
Great app love it! Keeps my info secure thanks so much. Updates were nice too thanks so mooch!.,great app love keeps info secure thanks much updates nice thanks mooch,positive
Intuitive and easy to use,intuitive easy use,positive
Very slick,slick,neutral
Beste App wallah,beste app wallah,neutral
Easy to use,easy use,positive
PayPal is great.,paypal great,positive
this company supports and helps scammers stealing yor money for no product or service,company supports helps scammers stealing yor money product service,positive
Nice,nice,positive
Missing features that are found on the Web version.,missing features found web version,negative
When the service was free had no delay on payment or transaction issued but now the extra 5 costs are paid to hopefully whichever might became to update the security like chime account.,service free delay payment transaction issued extra costs paid hopefully whichever might became update security like chime account,positive
"Fees are way too high and the transfers are ineffective, takes way too long to happen",fees way high transfers ineffective takes way long happen,negative
I think that everyone should have a PayPal account. It's so easy to get and send money. I would not use anything else,think everyone paypal account easy get send money would use anything else,positive
"Excellant Service providers,thank you very much.",excellant service providers thank much,positive
its fire helps me out all the time,fire helps time,positive
Best app for getting money from other country. Good customer support team.,best app getting money country good customer support team,positive
Very straightforward process.,straightforward process,neutral
"Now that you can add money to your PayPal balance immediately, rather than having to wait a week, it makes life so much easier.",add money paypal balance immediately rather wait week makes life much easier,positive
fastest way to cash a check and the only way to pay plants in Ecuador,fastest way cash check way pay plants ecuador,negative
The best,best,positive
So far it hasn't screwed me over somehow lol which is more than I can say for allllllll the other bank apps,far screwed somehow lol say allllllll bank apps,negative
"Sehr übersichtlich und einfach zu bedienen. Schön wäre es nur, wenn man mehrere Accounts mit der App verwalten könnte (bspw. den eigenen und den der Eltern oder des Partners)! Auch wäre es nett, nicht über Apple/Google Pay gehen zu müssen, sondern auch SamsungPay nutzen zu können als Zahlungsmethode im Geschäft - noch besser die PayPal App und NFC",sehr übersichtlich und einfach zu bedienen schön wäre es nur wenn man mehrere accounts mit der app verwalten könnte bspw den eigenen und den der eltern oder des partners auch wäre es nett nicht über apple google pay gehen zu müssen sondern auch samsungpay nutzen zu können als zahlungsmethode im geschäft noch besser die paypal app und nfc,negative
"Honestly one of the worst experiences I've ever had, roll the $14 that I had left in the account, really tight and shove it to whoever's buttocks at PayPal accepted these rules and regulations and penalties and withheld funds. Then repeat because this is ridiculous. PayPal really adds up to losses so I would bypass downloading.",honestly one worst experiences ever roll left account really tight shove whoever buttocks paypal accepted rules regulations penalties withheld funds repeat ridiculous paypal really adds losses would bypass downloading,negative
Fast and reliable,fast reliable,neutral
Awesome,awesome,positive
"Always failed registering bank or cards, I tried five local banks. Also I tried sending money twice, and both attempts took three days. The first attempt was declined, I lost $5 in admin fees (I think that's how Paypal makes money). The second attempt was marked as completed, but when I checked my bank, I hadn't received the funds—its been 3 days and they're still missing.",always failed registering bank cards tried five local banks also tried sending money twice attempts took three days first attempt declined lost admin fees think paypal makes money second attempt marked completed checked bank received funds days still missing,negative
It's my first time use this apps. I hope I find it comfortable.,first time use apps hope find comfortable,positive
They don't help you out when you get scammed,help get scammed,positive
Never been able to receive any cash from any company from playing cash games. Been playing these games for over 3 or more years and still no cash. Have deleted some games because of no payments to my card 😒,never able receive cash company playing cash games playing games years still cash deleted games payments card,positive
My money disappeared,money disappeared,negative
It was easy to send a payment and didn't take long at all.,easy send payment take long,positive
Why i cant sign up very bad service,cant sign bad service,positive
Happy,happy,positive
Used to love this app however now I think it's just not safe anymore someone used it to hack my bank account would love some assistance in fixing the matter as they are stealing the money with the name PAYPAL on it in all caps,used love app however think safe anymore someone used hack bank account would love assistance fixing matter stealing money name paypal caps,positive
Excellent,excellent,positive
Very nice app,nice app,positive
Bad experience with the recent app. My salary got on hold several times even if I'm not a first user. PLEASE FIX THIS,bad experience recent app salary got hold several times even first user please fix,negative
This because paypal have no Pakistan code please sure this code and I am also happy,paypal pakistan code please sure code also happy,positive
Honestly I love this app I just wish it was compatible with all phones,honestly love app wish compatible phones,positive
